question,expectedResponse
"Según las consideraciones iniciales del documento (páginas 1–10), ¿cuáles son los propósitos principales y las modificaciones clave que buscan estas Disposiciones de carácter general en materia financiera de los Sistemas de Ahorro para el Retiro?","Propósitos principales: procurar que todas las operaciones de inversión se realicen exclusivamente en interés de los Trabajadores; establecer un marco legal uniforme y armónico (p. ej. para Fondos Generacionales/TDF); fortalecer la administración de riesgos y la transparencia; y canalizar inversiones que contribuyan al crecimiento económico nacional. Modificaciones y cambios clave señalados: inclusión obligatoria de factores ESG; ajustes metodológicos (modificación del Coeficiente de Liquidez y precisiones al límite anual del Error de Seguimiento); reglas operativas y de gobernanza para Fondos Mutuos, Fondos Estructurados e Instrumentos Bursatilizados; parámetros y requisitos para operaciones con derivados privilegiando cobertura y evitando especulación; requisitos de gobernanza y límites de costos para instrumentos alternativos; posibilidad de invertir en emisiones de Pymes y reglas para Certificados Bursátiles Fiduciarios de Proyectos; fortalecimiento de medidas de liquidez (PID); exigencia de certificación y capacitación (incluida formación ASG y refrendo de certificación) para funcionarios; obligaciones sobre prospectos y folletos informativos; lineamientos sobre continuidad de negocio (BCP/DRP); y actualizaciones operativas como la inclusión del yuan offshore en las divisas permitidas. Última modificación señalada: 22 de mayo de 2024."
"Según las Disposiciones, ¿qué es el ""Coeficiente de Liquidez"" y en qué Anexo se encuentra la metodología para su cálculo?","El Coeficiente de Liquidez es el parámetro de liquidez mínima correspondiente al valor de la Provisión por Exposición en Instrumentos Derivados (PID) respecto de los Activos para Financiar la operación con Derivados (AFD), previsto para mitigar los requerimientos de liquidez ocasionados por las posiciones en derivados. La metodología y las definiciones de las variables para su cálculo se encuentran en el Anexo N."
"Según el Artículo 2 quáter del segmento, ¿qué actividades debe permitir realizar el Sistema Integral Automatizado y cuáles son, al menos, cuatro requisitos de seguridad y control que debe cumplir dicho sistema?","El Sistema Integral Automatizado debe permitir: a) adquisición y enajenación de Activos Objeto de Inversión; b) registro en línea de dichos activos; c) administración de riesgos; d) confirmación de operaciones; e) asignación de operaciones; f) liquidación de operaciones; g) registro contable de la Sociedad de Inversión; h) generación de estados financieros; e i) las demás funciones requeridas para la gestión integral de las carteras (incluyendo las establecidas en los Manuales de Políticas y Procedimientos). Entre los requisitos de seguridad y control se indican: i) acceso restringido por usuarios y perfiles conforme a responsabilidades, con credenciales intransferibles y políticas de acceso documentadas y auditables; ii) evidencia inviolable (huellas de auditoría) con fecha y hora que identifique a los usuarios en las distintas actividades; iii) soporte técnico permanente y oportuno para resolver problemas técnicos, operativos o de modelación; y iv) una estructura de base de datos que permita cumplir las disposiciones aplicables sobre contabilidad y presentación de estados financieros."
"Según las Disposiciones del texto, ¿cómo debe integrarse y funcionar el Comité de Riesgos Financieros de cada Sociedad de Inversión en cuanto a composición, presidencia, frecuencia de sesiones, quórum, ausencias y formalización de las actas pormenorizadas?","Composición: al menos el Responsable del Área de Riesgos, un Consejero Independiente y uno no independiente (que no sean miembros del Comité de Inversión) y el director general de la Administradora que opere la Sociedad de Inversión. Presidencia: a cargo del director general de la Administradora o de un Consejero Independiente. Frecuencia: deberá sesionar cuando menos una vez al mes. Quórum y validez: las sesiones son válidas sólo si cuentan con quórum del 80% de sus miembros con voto, dentro de los cuales debe asistir el director general de la Administradora y un Consejero Independiente. Ausencias: la ausencia del Consejero Independiente o del director general sólo podrá excusarse en dos ocasiones por año calendario; el Comité debe designar un responsable durante la ausencia únicamente para tales efectos. Actas pormenorizadas: deben estar a disposición de la Comisión (pueden ser estenográficas o grabaciones seguras), el secretario debe elaborarlas e integrarlas, y deben estar firmadas por todos los asistentes en un plazo máximo de 45 días naturales posteriores a la sesión."
"Según el Artículo 14 del segmento, mencione cinco actividades que debe permitir realizar el Sistema Integral Automatizado para la UAIR.","1) Evaluar el Riesgo Financiero de la cartera (por activo, clase de activo, factor de riesgo y cartera total) conforme a metodologías aprobadas; 2) Realizar pruebas de cartera bajo escenarios de estrés (históricos, hipotéticos, crisis históricas y 'what if', con duración mínima de seis meses); 3) Monitorear diariamente el porcentaje de uso y capacidades de los Límites Regulatorios y Límites Prudenciales y calcular las Alarmas Tempranas aprobadas; 4) Calcular el Valor en Riesgo de mercado mediante distintas metodologías para la cartera completa, subcarteras y activos específicos; 5) Generar simulaciones estocásticas tipo Montecarlo para precios de valuación y factores de riesgo."
"Según el segmento proporcionado, ¿cuáles son, de manera resumida, las políticas mínimas que debe prever la Estrategia de Inversión de cada Sociedad de Inversión y qué requisitos de vigencia, revisión y documentación debe contener dicha Estrategia?","La Estrategia de Inversión debe prever, agregadamente para la cartera de cada Sociedad de Inversión: (I) características de liquidez de los Activos Objeto de Inversión; (II) calidad crediticia de los Activos Objeto de Inversión (Instrumentos de Deuda, Valores Extranjeros de Deuda, estructuras vinculadas, inversiones neutras, vehículos y contrapartes); (III) sensibilidad de la cartera ante cambios en los Factores de Riesgo definidos por el Comité de Riesgos Financieros; (IV) los Vehículos y mecanismos de inversión autorizados; (IV bis) políticas y criterios de elegibilidad para Emisiones Pymes; (V) identificación de los Activos que integran el Activo Total (ej. Valores Extranjeros, Inversiones Neutras, Instrumentos Estructurados, FIBRAS, VEH. inmobiliarios, mercancías, divisas, derivados); (VI) las Clases de Activo, mecanismos autorizables y los porcentajes objetivo respecto del Activo Total; (VII) políticas ASG cuando aplique; (IX) requerimientos extraordinarios de liquidez bajo escenarios de estrés. El Comité de Inversión debe además especificar cómo se computan los porcentajes de la fracción VI (valor a mercado, Valor Delta Equivalente u otra medida) y emplear medidas de liquidez, crédito y mercado definidas por el Comité de Riesgos Financieros. La Estrategia debe indicar su vigencia, la periodicidad de revisión por el Comité de Inversión y el margen máximo de desviación permitido al área de inversiones para cada política; todo ello debe quedar asentado en las Actas Pormenorizadas del Comité de Inversión."
"Según la fracción XVIII del texto, ¿cuál es el monto máximo que puede invertirse en cada Instrumento Estructurado y qué condiciones deben cumplirse si el Comité de Inversión decide modificar ese límite?","El monto máximo a invertir en cada Instrumento Estructurado no debe ser superior al equivalente al 2% del Activo Total correspondiente al conjunto de las Sociedades de Inversión Básicas elegibles para inversiones en Instrumentos Estructurados operadas por la misma Administradora. El Comité de Inversión puede modificar ese límite porcentual, pero la modificación debe: ser revisada y aprobada para cada Instrumento Estructurado (considerando series o subseries como instrumentos independientes); contar con el voto favorable de los Consejeros Independientes; y quedar claramente asentada en el Acta Pormenorizada de la sesión correspondiente."
"Según el Artículo 34 del segmento, ¿qué aspectos deberá definir, aprobar y dar seguimiento el Comité de Inversión cuando la Administradora tenga la no objeción para operar con Derivados, y con qué periodicidad debe el Responsable del Área de Inversiones presentar la información relacionada?","El Comité de Inversión debe, entre otros: 1) definir los subyacentes, plazos y tipos de operaciones con Derivados; 2) definir mercados, plataformas y contrapartes; 3) establecer una política de administración de garantías (tipos, montos mínimos, metodología de seguimiento; el umbral para operaciones extrabursátiles será cero); 4) dar seguimiento al límite máximo de apalancamiento definido por el Comité de Riesgos Financieros; 5) monitorear la exposición y valor mercado de las operaciones consideradas en los anexos correspondientes; 6) fijar criterios para operación, compra/venta y confirmación en mercados de derivados; 7) definir y dar seguimiento a las Asignaciones Tácticas mediante derivados (objetivo, operaciones, subyacentes, precios de ejercicio y vencimientos; operaciones cuyo objetivo sólo podrá ser cobertura, rebalanceo o reducción del Error de Seguimiento); 8) contar con el análisis del riesgo de liquidez por posiciones en derivados, incluyendo cálculo de PID, AFD y Coeficiente de Liquidez y efectos por escenarios de estrés; 9) definir la política de cobertura de activos denominados en las divisas de los Grupos I, II y III del Anexo D (porcentajes de cobertura, políticas de seguimiento y acciones correctivas). Además, quedan prohibidas las coberturas indirectas (“proxy hedge”). Periodicidad de presentación por el Responsable del Área de Inversiones: anualmente la información de las fracciones I, II, IV, VI, VII y X; cuatrimestralmente la de las fracciones III, V y IX; y mensualmente la de la fracción VIII, presentándose en la sesión inmediata posterior al cumplimiento de cada periodicidad."
"Según los artículos 44 y 45, ¿cómo debe integrarse y operar el Comité de Inversión, incluyendo requisitos de membresía, quórum, votación, manejo de empates, sesiones, actas pormenorizadas y registro de conflictos de interés?","Integración y membresía: debe tener al menos cinco miembros, entre ellos un Consejero Independiente, el director general de la Administradora, un consejero no independiente y el Responsable del Área de Inversiones, más los demás miembros que designe el Órgano de Gobierno. Quórum y sesiones: debe sesionar cuando menos una vez al mes; las sesiones son válidas sólo con quórum del 80% de los miembros con voto e incluyen necesariamente la asistencia del director general y de un Consejero Independiente (la ausencia de cualquiera de estos sólo podrá excusarse en dos ocasiones por año calendario y el Comité deberá designar un responsable durante la ausencia, sólo para tales efectos). Votación y empates: cada miembro tiene un voto; la aprobación se hace por mayoría de votos; los miembros deben establecer un procedimiento interno para resolver empates; para asuntos que requieren opinión de Consejeros Independientes debe cumplirse con esos requisitos y, si los Consejeros Independientes están empatados, el Comité debe haber definido previamente quién tiene voto de calidad entre ellos. Actas y conflictos: las decisiones y cualquier Conflicto de Interés (según artículo 44) deben constar de manera expresa en las Actas Pormenorizadas; las actas pueden ser estenográficas o grabadas con medios que mantengan la integridad de la información y deben elaborarlas y integrarlas el secretario del Comité; la Comisión puede requerir más información; las Actas Pormenorizadas deben estar firmadas por todos los asistentes dentro de un plazo máximo de 45 días naturales posteriores a la sesión y mantenerse a disposición de la Comisión."
"De acuerdo con los artículos citados en las páginas 91-100 del segmento, ¿qué situaciones presumen la existencia de un Conflicto de Interés real y potencial, y cómo deben detectarse, registrarse y denunciarse dichos conflictos dentro de la Administradora?","Presunción de Conflicto de Interés real (art. 66 bis, salvo prueba en contrario): i) cuando el Funcionario/Consejero deba tomar decisiones respecto de personas morales sobre las que tenga Control, Poder de Mando o influencia significativa; ii) cuando dichas características las tengan su cónyuge, concubina/concubinario, parientes hasta cuarto grado, socios o copropietarios; iii) cuando mantenga inversiones personales en la persona moral (directas, vía derivados o vehículos donde pueda decidir selección/asignación de subyacentes); iv) cuando tenga información privilegiada conforme a la Ley del Mercado de Valores; v) otras situaciones previstas en el código de buenas prácticas o código de ética. Presunción de Conflicto de Interés potencial (art. 66 ter): se aplica si el Funcionario/Consejero se encuentra en cualquiera de las circunstancias anteriores y, por sus responsabilidades, podría en el futuro tomar decisiones o ejecutar funciones que deriven en un conflicto real. Detección y registro (art. 65): el código de buenas prácticas debe exigir que Funcionarios, Consejeros Independientes, miembros del Consejo, Comités y cualquier individuo que labore para la Administradora informen al Contralor Normativo sobre conflictos reales o potenciales; el Contralor Normativo debe actualizar y mantener una lista (mínimo: naturaleza del conflicto, nombres e posición dentro de la Administradora y las Sociedades de Inversión) disponible para la Comisión. Denuncia (art. 66 quáter): las Administradoras deben establecer vehículos o canales internos, seguros y confidenciales para que los Funcionarios, Consejeros y demás informen al Órgano de Gobierno sobre comportamientos irregulares, poco éticos, actos de corrupción o incumplimientos regulatorios."
