question,expectedResponse
"Según la Ley (Artículo 3), ¿qué es la ""Cuenta Individual"" y qué recursos y registros debe contener?","Es la cuenta de la que es titular un trabajador; en ella se depositarán las cuotas obrero‑patronales y estatales y sus rendimientos, se registrarán las aportaciones a los fondos de vivienda y se depositarán los demás recursos que, en términos de la ley, puedan ser aportados a las mismas; además puede abrirse a otros trabajadores no afiliados."
Mencione cinco facultades principales de la Comisión Nacional del Sistema de Ahorro para el Retiro (Artículo 5).,"1) Regular, mediante disposiciones de carácter general, la operación de los sistemas de ahorro para el retiro y la recepción, depósito, transmisión y administración de las cuotas y aportaciones (fracción I). 2) Expedir disposiciones generales para la constitución, organización, funcionamiento y participación de los participantes en dichos sistemas (fracción II). 3) Emitir la regulación prudencial aplicable a los participantes (fracción III). 4) Realizar la supervisión de los participantes en los sistemas de ahorro para el retiro (fracción VII). 5) Imponer multas y sanciones y emitir opinión a la autoridad competente respecto de los delitos previstos en la ley (fracción IX)."
"Según el Artículo 18, ¿qué son las administradoras y cuáles son, de manera concisa, sus principales obligaciones u objetos?","Las administradoras son entidades financieras que administran de manera habitual y profesional las cuentas individuales y canalizan los recursos de sus subcuentas, además de administrar sociedades de inversión. Deben gestionar la obtención de adecuada rentabilidad y seguridad en las inversiones atendiendo exclusivamente al interés de los trabajadores. Sus objetos principales incluyen: abrir, administrar y operar cuentas individuales (y diversas subcuentas, incluidas las relacionadas con el ISSSTE y trabajadores no afiliados); recibir cuotas y aportaciones (obligatorias, voluntarias y complementarias) y administrar fondos de previsión social; individualizar aportaciones y rendimientos; enviar estados de cuenta periódicos y ofrecer servicios de información; prestar servicios de administración, distribución y recompra de acciones de sociedades de inversión; operar retiros programados y pagar retiros parciales; entregar recursos a aseguradoras para rentas vitalicias o seguros; funcionar como entidades financieras autorizadas; y realizar actos análogos autorizados por la Junta de Gobierno."
¿Qué requisitos exige la Ley para organizarse y operar como administradora (Artículos 19 y 20) y qué condiciones societarias deben cumplirse una vez autorizada?,"La autorización la otorga discrecionalmente la Comisión previa opinión de la Secretaría de Hacienda y Crédito Público a solicitantes con propuestas viables que cumplan, al menos: presentar la solicitud y proyecto de estatutos; un programa general de operación, divulgación y reinversión de utilidades; los accionistas controladores deberán presentar su estado patrimonial de los cinco años anteriores; y las escrituras constitutivas y sus reformas deben ser aprobadas por la Comisión e inscritas en el Registro Público de Comercio. Para su funcionamiento las administradoras deben ser sociedades anónimas de capital variable que incluyan en su denominación ""Administradora de Fondos para el Retiro"" o ""AFORE"", tener íntegramente suscrito y pagado el capital mínimo exigido, contar con al menos cinco administradores constituidos en consejo de administración, y avisar a la Comisión los nombramientos del consejo, director general, los dos niveles inmediatos siguientes y comisarios, sometiendo a aprobación del Comité Consultivo y de Vigilancia los consejeros independientes y el contralor normativo."
¿Qué obligaciones tienen las administradoras cuando incrementan sus comisiones y cuáles son las consecuencias si no cumplen?,"Cuando incrementen sus comisiones, las administradoras deben entregar en el domicilio de los trabajadores un comunicado por lo menos con treinta días naturales de anticipación a la fecha en que entre en vigor el incremento, para que los trabajadores puedan solicitar el traspaso de su cuenta individual. El incumplimiento de esta obligación provoca la nulidad de la(s) comisión(es) que pretendan cobrarse, sin perjuicio de las sanciones aplicables. Las nuevas comisiones por incrementos empezarán a cobrarse sesenta días naturales contados a partir del día siguiente al de su publicación en el Diario Oficial de la Federación; en caso de disminución, podrán aplicarse a partir de la notificación de la autorización correspondiente. Además, si la modificación implica un incremento, los trabajadores tienen derecho a traspasar sus recursos y ese derecho debe preverse en contratos y prospectos."
"Según el Artículo 42, ¿cuál es el objeto, la composición mínima y las reglas de operación del comité de inversión de las sociedades de inversión?","El comité de inversión tiene por objeto determinar la política y estrategia de inversión, la composición de los activos y designar a los operadores que ejecuten la política. Debe integrarse por lo menos con un consejero independiente, el director general de la administradora que opere la sociedad de inversión y los demás miembros que designe el consejo de administración; no podrán ser miembros los integrantes del comité de riesgos, salvo el director general de la administradora. La designación de operadores requerirá el voto favorable de los consejeros independientes del comité. El comité deberá sesionar al menos una vez al mes y sus sesiones no serán válidas sin la presencia de al menos un consejero independiente; de cada sesión se levantará acta pormenorizada disponible para la Comisión."
"Según los artículos 51 y 52, ¿qué obligaciones tienen los consejeros independientes respecto a las decisiones del consejo y qué deben hacer si detectan irregularidades; qué consecuencias pueden enfrentar por incumplimiento u omisión?","Deben propiciar con su voto y procurar que las decisiones del consejo y comités beneficien a los trabajadores, se ajusten a la normatividad interna y externa y a las sanas prácticas de mercado. Si conocen decisiones contrarias o irregularidades, deben presentar de inmediato un informe detallado al presidente del consejo, al auditor interno, al contralor normativo y a la Comisión. Serán responsables si apoyan decisiones contrarias o toleran irregularidades; la omisión en sus obligaciones puede ser causa de remoción por la Comisión, sin perjuicio de otras responsabilidades legales aplicables."
¿Cuál es el procedimiento que debe seguir la Comisión para obligar a una administradora o sociedad de inversión a modificar o suspender publicidad que no se ajuste a sus reglas?,"I) Notificar personalmente la determinación al interesado; II) Conceder un plazo de quince días hábiles, contado desde el día siguiente a la notificación, para que el interesado manifieste por escrito lo que convenga y ofrezca pruebas; III) Analizadas y valoradas las pruebas, el Presidente de la Comisión emitirá la resolución en un plazo no superior a sesenta días hábiles contado desde el día siguiente a la presentación del escrito. Durante el procedimiento la publicidad se suspende y si la entidad infringe más de dos veces en seis meses las normas de publicidad, no podrá reiniciarla sin autorización previa de la Comisión."
¿Cuándo puede un trabajador traspasar su cuenta individual de una administradora a otra y qué condiciones o excepciones regula la ley para esos traspasos?,"En general el trabajador puede traspasar su cuenta individual una vez transcurrido un año contado desde su registro o desde la última vez que ejerció el derecho de traspaso. Puede traspasar antes del año cuando la administradora destinataria haya registrado un Rendimiento Neto mayor en el período de cálculo inmediato anterior (la Junta de Gobierno determinará la diferencia mínima entre Rendimientos Netos para permitir el traspaso). Quien traspase por ese motivo deberá permanecer al menos 12 meses en la administradora elegida. La Junta puede establecer un plazo menor al año atendiendo circunstancias de mercado. También procede el traspaso cuando se modifique el régimen de inversión o de comisiones, cuando la administradora entre en disolución o se fusione (en fusiones, el derecho aplica sólo a trabajadores registrados en la administradora fusionada). Además, el derecho de invertir en otra sociedad de inversión operada por la misma administradora puede ejercerse en cualquier tiempo si se cumplen los requisitos."
"Según los artículos 90 a 92, ¿qué facultades tiene la Comisión en materia de supervisión y qué obligaciones tienen los participantes respecto a la información y a los plazos de inspección?","La Comisión puede practicar visitas e inspecciones, requerir información y documentación, asegurar documentación y medios magnéticos, revisar estados financieros y ordenar publicaciones, vigilar programas de funcionamiento, verificar capital mínimo y reservas, supervisar el régimen de inversión, verificar contratos de administración, revisar valuación de valores, verificar comisiones, determinar días de cierre de operaciones, vigilar el cumplimiento de prospectos y ejercer otras facultades de supervisión. Los participantes están obligados a proporcionar la información y documentación solicitada en los plazos, horarios, forma, calidad y periodicidad que la Comisión indique; la información recabada es confidencial salvo excepciones legales. Las inspecciones deben concluirse dentro de doce meses contados desde la notificación de la orden de visita; si se presume incumplimiento en cuotas y aportaciones, la Comisión lo comunicará a las autoridades correspondientes (SHCP, IMSS, INFONAVIT y SFP)."
