question,expectedResponse
"¿Cuál es el objeto de las presentes disposiciones según la fracción ""PRIMERA""?",Establecer el régimen de inversión al que deberán sujetarse las sociedades de inversión especializadas de fondos para el retiro.
"¿Qué se entiende por ""Activos Objeto de Inversión"" conforme a la fracción V?","Se entiende por Activos Objeto de Inversión a los Instrumentos, Divisas, Valores Extranjeros, Componentes de Renta Variable, Inversiones Neutras, Estructuras Vinculadas a Subyacentes, Mercancías y operaciones con Derivados, reportos y préstamos de valores."
"Según el texto, ¿qué cambios ocurrieron con Moody's en México y con DBRS México, y qué consecuencias regulatorias se mencionan?","Moody's de México cambió su denominación a Moody's Local MX, S.A. de C.V., I.C.V. (a partir del 19 de mayo de 2022) y dicho cambio fue sólo de nomenclatura sin alterar el nivel de riesgo crediticio; el Comité de Análisis de Riesgos aprobó las nuevas escalas locales (acuerdo CARE/01/01/2022). DBRS México fue liquidada (confirmado el 12 de marzo de 2024), sus calificaciones en México fueron eliminadas y la actividad local se refirió a HR Ratings, por lo que se propuso eliminar las calificaciones de DBRS México de los Anexos relacionados (modificación aprobada mediante CAR/51/01/2024)."
"Según las disposiciones, ¿qué constituye un ""País Elegible para Inversiones"" y quién puede determinar que deje de serlo?","Son países cuyas autoridades reguladoras y supervisoras de mercados financieros pertenezcan al Comité sobre el Sistema Financiero Global (BPI); países miembros de la Alianza del Pacífico con bolsas en MILA; la Unión Europea; o países miembros de la OCDE con tratados de libre comercio vigentes con México, además de otros países determinados en el Anexo P según seguridad de las inversiones y desarrollo de mercados. El Comité de Análisis de Riesgos puede determinar que un país deje de considerarse País Elegible para Inversiones."
¿Cuáles son las reglas generales sobre la calificación crediticia mínima que deben cumplir los Instrumentos de Deuda que adquieran las Sociedades de Inversión?,"Los Instrumentos de Deuda en moneda nacional y Unidades de Inversión deben alcanzar las calificaciones mínimas señaladas en los Anexos A–E; los denominados en divisas, las de los Anexos F–I. Hay excepciones para instrumentos emitidos o avalados por el Gobierno Federal y el Banco de México. Si un instrumento solo tiene calificaciones en escala global se aplican los Anexos F–H; si tiene calificaciones según distintas escalas se aplicará la calificación más baja. Todas las calificaciones deben ser públicas y otorgadas al menos por dos instituciones calificadoras autorizadas."
"Si una Sociedad de Inversión incumple su régimen de inversión y ello causa una minusvalía, ¿qué procedimiento y obligaciones de resarcimiento establecen las disposiciones?","La Administradora deberá resarcir la minusvalía aplicando la fórmula prevista en el Anexo O o, según corresponda, en el Anexo W. La minusvalía se identifica cuando, por ejemplo, el precio de la acción al cierre de un día (PS1) sea menor que el día hábil anterior (PS0) u otros criterios señalados. La cobertura se realizará con cargo a la reserva especial constituida y, si ésta es insuficiente, con cargo al capital social. Para resarcir, la Administradora cancelará el número de acciones que resulte de dividir el monto de la minusvalía entre el precio de valuación de la acción y deberá reconstituir la reserva y, en su caso, el capital social conforme a la Ley."
¿Qué cláusulas mínimas deben prever los contratos que celebren las Sociedades de Inversión con los Mandatarios según la disposición Décima Séptima?,"Deben prever al menos: que ambas partes observen permanentemente los límites, parámetros y criterios de diversificación y obligaciones aplicables; que las inversiones se registren segregadas como por cuenta de terceros; la obligación del mandatario de no operar con entidades con nexo patrimonial o conflicto de interés; que la valuación y el reporte de carteras se hagan conforme a las disposiciones de la Comisión; que los mandatarios reporten precios y minusvalías con la periodicidad establecida; el cumplimiento de criterios de diversificación de la fracción IV de la disposición Vigésima Cuarta; que los costos de administración del mandato se consideren parte de la comisión (excepto costos de corretaje señalados); y cumplir los demás requisitos que determine el Comité de Análisis de Riesgos."
"Según la disposición Vigésima Segunda, ¿cuáles son los principales límites de riesgo que deben mantener las Sociedades de Inversión Básicas?","Deben mantener: un Error de Seguimiento máximo del 5% (calculado según metodología del Comité de Análisis de Riesgos); un límite máximo de Valor en Riesgo conforme al Anexo T (a partir del trimestre 132); y, para Sociedades Básicas de Pensiones, un Valor en Riesgo máximo de 0.70% del Activo Administrado. El cálculo del VaR debe seguir la metodología de las secciones I y II del Anexo L y usar la matriz de diferencias en precios proporcionada por el Proveedor de Precios contratado."
"En relación con la transferencia de recursos del 13 de diciembre de 2019, ¿qué obligaciones previas y acciones deben cumplir las Administradoras y qué efectos tiene la transferencia?","Las Administradoras debían presentar los programas de transferencia para autorización a más tardar el 31 de octubre de 2019; la Comisión tenía 30 días naturales para emitir la no objeción. Debían informar a la Base de Datos Nacional SAR los recursos a transferir antes de la operación y notificar a los trabajadores 90 días hábiles previos su derecho a permanecer o solicitar otra Sociedad. El 13 de diciembre de 2019 la transferencia se realizaría por títulos libre de pago; las sociedades girarían instrucciones a custodios para transferir o recibir valores a Indeval. A partir del día hábil siguiente a la transferencia, las Sociedades receptoras deberán observar el régimen de inversión y prospecto aplicables."
"Según la disposición CUARTA, ¿cómo progresa la adopción de los límites máximos previstos en la columna 4 del Anexo S para el ID 1 desde el inicio hasta diciembre de 2022? Menciona los porcentajes clave por trimestre señalados en la tabla.","Para el ID 1 la adopción gradual es: inicio (diciembre 2019 a diciembre 2020) 50.00%; marzo 2021 52.50%; junio 2021 55.00%; septiembre 2021 57.50%; diciembre 2021 60.00%; y se mantiene en 60.00% en marzo, junio, septiembre y diciembre de 2022."
¿Qué criterio emitió el Comité de Análisis de Riesgos respecto a la gradualidad de los límites máximos para los Instrumentos Bursatilizados previstos en la columna 5 del Anexo S?,El Comité de Análisis de Riesgos emitió un criterio de cero gradualidad en la adopción de los límites máximos para los Instrumentos Bursatilizados previstos en la columna 5 del Anexo S.
"Según la disposición QUINTA, ¿cuáles son los límites de Valor en Riesgo (VaR) aplicables a las Sociedades de Inversión Básicas 1 a 4 y qué metodología deben seguir?",Los límites de VaR son: hasta 0.70% del Activo Administrado para Sociedades de Inversión Básicas 1 y las Básicas de Pensiones; hasta 1.10% para Básicas 2; hasta 1.40% para Básicas 3; y hasta 2.10% para Básicas 4. Deben aplicar la metodología prevista en las secciones I y II del Anexo L de las presentes disposiciones.
"¿Cuáles son, en orden, los pasos que debe seguir el Proveedor de Precios para generar la matriz de diferencias de precios (1000 x n) usada en el cálculo del VaR histórico, y qué activos se consideran para este proceso?","Pasos: (1) Estimar las variaciones porcentuales diarias de los factores de riesgo que influyen en la valuación de los Activos Permitidos a lo largo de los últimos 1,000 días hábiles. (2) Generar 1,000 observaciones de cada factor multiplicando esas variaciones por el valor del factor en el día h; si un factor está expresado en porcentaje (tasas/volatilidades) la variación se expresa en puntos base y se aplica la fórmula indicada para obtener la observación (variación + valor actual). (3) A partir de las observaciones de factores obtener los precios de los Activos Permitidos mediante la fórmula de valuación f(F1,...,Fk). (4) Con esos precios construir la matriz de diferencias 1000 x n donde cada elemento C P_j^i = P_j^i − P_j^h. Activos considerados: los Instrumentos, Valores Extranjeros, Derivados y operaciones de reporto y préstamo que sean 'Activos Permitidos'; no se consideran depósitos bancarios denominados en pesos ni Instrumentos Estructurados."
"Una vez obtenida la matriz de diferencias de precios C P (1000 x n), ¿cómo calcula la Administradora el VaR y qué operaciones matemáticas realiza hasta obtener los rendimientos para ordenar y estimar la distribución?",Procedimiento: multiplicar la matriz de diferencias de precios (1000 x n) por el vector n x 1 que contiene el número de títulos o contratos N T_j_h de cada Activo Permitido para obtener el vector de cambios de valor P M V_i_h (1000 x 1) —plusvalías/minusvalías por escenario. Para Sociedades de Inversión se divide ese vector entre el Activo Administrado V P_h para obtener los rendimientos R_i_h (1000 x 1). Finalmente se ordenan los rendimientos de menor a mayor para estimar la distribución y calcular el VaR y el Valor en Riesgo Condicional.
¿Cómo se determina y ajusta el número de escenario correspondiente al VaR (E_t) para una Sociedad de Inversión según la metodología descrita?,"E_t se inicia en 26 (E1=26) y no puede ser menor que 26. Se define la holgura H_t = E_t − X_t, donde X_t es el número de escenarios del portafolio de referencia (PR) en la fecha t que exceden el límite regulatorio del VaR. Además existen X_t^{30} (número de escenarios excedentes considerando los 30 escenarios más recientes) y X_t^{60} (considerando los 60 más recientes). Reglas de ajuste: si H_t < 3, o si H_t < 5 y X_t^{30} > 5, entonces E_{t+1} = E_t + 5. Si E_t > 26 y H_t > 15 y X_t^{60} < 5, entonces E_{t+1} = E_t − 5. En cualquier otro caso E_{t+1} = E_t. La Comisión notifica a las Administradoras los cambios y el valor vigente para t+1."
